Date,Open,High,Low,Close,High_Last_22_Days,Low_Last_22_Days,Days_Since_High_Last_22_Days,Days_Since_Low_Last_22_Days,%_Diff_From_High_Last_22_Days,%_Diff_From_Low_Last_22_Days,High_Next_6_Days,%_Diff_From_High_Next_6_Days,Low_Next_6_Days,%_Diff_From_Low_Next_6_Days
2021-01-02,29795.09,29895.0,29721.78,29834.26,29895.0,28720.0,0,1,-0.20317778892791974,3.8797353760445628,31550.0,-5.438161648177501,29543.93,0.9827060922497383
2021-01-02,29829.59,29928.0,29721.62,29913.72,29928.0,28720.0,0,1,-0.04771451483560156,4.156406685236773,31584.31,-5.289303454784987,29543.93,1.2516615088107805
2021-01-02,29912.43,29990.0,29654.0,29688.04,29990.0,28720.0,0,1,-1.00686895631877,3.3706128133704762,31886.42,-6.894408340603923,29543.93,0.4877820926329049
2021-01-02,29666.79,29898.5,29543.93,29748.67,29990.0,28720.0,0,1,-0.8047015671890688,3.5817200557103,33099.24,-10.122800402667856,29689.08,0.20071352834104833
2021-01-02,29738.61,29849.38,29689.08,29822.42,29990.0,28720.0,0,1,-0.5587862620873683,3.8385097493036153,33099.24,-9.899985619005149,29800.0,0.07523489932885319
2021-01-02,29822.42,30958.06,29800.0,30668.76,30958.06,28720.0,0,1,-0.9344900810968223,6.785376044568239,33333.0,-7.992799927999285,30552.86,0.37934255581964443
2021-01-02,30663.43,31550.0,30552.86,31550.0,31550.0,28720.0,0,1,0.0,9.85376044568245,33333.0,-5.349053490534905,30750.0,2.6016260162601625
2021-01-02,31550.0,31584.31,31144.78,31344.73,31584.31,28720.0,0,1,-0.7585411870640889,9.139032033426183,33333.0,-5.964869648696489,30000.0,4.482433333333332
2021-01-02,31323.49,31886.42,30750.0,31782.96,31886.42,28720.0,0,1,-0.3244641449243883,10.664902506963786,33333.0,-4.650166501665019,30000.0,5.943199999999997
2021-01-02,31758.0,33099.24,31757.37,32531.17,33099.24,28947.7,0,1,-1.71626297159693,12.379118202827849,33333.0,-2.4055140551405567,30000.0,8.437233333333328
